22/07/2020:16:08:47: new log created.
22/07/2020:16:08:47: start main app.py
22/07/2020:16:08:55: start main app.py
22/07/2020:16:18:43: start main app.py
22/07/2020:16:18:43: stop main app.py
22/07/2020:16:18:45: start main app.py
22/07/2020:16:18:45: stop main app.py
22/07/2020:16:26:04: start main app.py
22/07/2020:16:26:04: stop main app.py
22/07/2020:16:26:06: start main app.py
22/07/2020:16:26:06: stop main app.py
22/07/2020:16:26:07: start main app.py
22/07/2020:16:26:07: stop main app.py
22/07/2020:16:31:43: start main app.py
22/07/2020:16:31:43: stop main app.py
22/07/2020:16:32:08: start main app.py
22/07/2020:16:32:08: stop main app.py
22/07/2020:16:32:15: start main app.py
22/07/2020:16:32:15: stop main app.py
22/07/2020:16:33:08: start main app.py
22/07/2020:16:33:08: stop main app.py
22/07/2020:16:33:21: start main app.py
22/07/2020:16:33:21: stop main app.py
22/07/2020:16:35:50: start main app.py
22/07/2020:16:35:50: stop main app.py
22/07/2020:16:37:35: start main app.py
22/07/2020:16:37:35: stop main app.py
22/07/2020:16:42:36: start main app.py
22/07/2020:16:42:36: stop main app.py
22/07/2020:16:46:00: start main app.py
22/07/2020:16:46:00: stop main app.py
22/07/2020:16:48:14: start main app.py
22/07/2020:16:48:14: stop main app.py
22/07/2020:16:52:33: start main app.py
22/07/2020:16:52:33: stop main app.py
22/07/2020:16:53:46: start main app.py
22/07/2020:16:53:46: stop main app.py
22/07/2020:16:55:09: start main app.py
22/07/2020:16:55:09: stop main app.py
22/07/2020:16:55:16: start main app.py
22/07/2020:16:55:16: stop main app.py
22/07/2020:16:56:01: start main app.py
22/07/2020:16:56:01: stop main app.py
22/07/2020:16:58:32: start main app.py
22/07/2020:16:58:32: stop main app.py
22/07/2020:16:59:01: start main app.py
22/07/2020:16:59:01: stop main app.py
22/07/2020:17:00:20: start main app.py
22/07/2020:17:00:20: stop main app.py
22/07/2020:17:01:06: start main app.py
22/07/2020:17:01:06: stop main app.py
22/07/2020:17:01:36: start main app.py
22/07/2020:17:01:36: stop main app.py
22/07/2020:17:02:31: start main app.py
22/07/2020:17:02:31: stop main app.py
22/07/2020:17:05:50: start main app.py
22/07/2020:17:07:40: start main app.py
22/07/2020:17:07:40: stop main app.py
22/07/2020:17:07:48: start main app.py
22/07/2020:17:07:48: stop main app.py
22/07/2020:17:07:55: start main app.py
22/07/2020:17:07:56: stop main app.py
22/07/2020:17:08:02: start main app.py
22/07/2020:17:08:02: stop main app.py
22/07/2020:17:08:30: start main app.py
22/07/2020:17:08:30: stop main app.py
22/07/2020:17:10:19: start main app.py
22/07/2020:17:10:19: stop main app.py
22/07/2020:17:18:46: start main app.py
22/07/2020:17:18:46: stop main app.py
22/07/2020:17:19:03: start main app.py
22/07/2020:19:28:09: start main app.py
22/07/2020:19:29:39: start main app.py
22/07/2020:19:30:39: start main app.py
22/07/2020:19:38:09: start main app.py
22/07/2020:19:39:09: start main app.py
22/07/2020:19:40:35: start main app.py
22/07/2020:19:41:57: start main app.py
22/07/2020:19:42:37: start main app.py
22/07/2020:19:42:37: stop main app.py
22/07/2020:19:42:59: start main app.py
22/07/2020:19:42:59: stop main app.py
22/07/2020:19:48:34: start main app.py
22/07/2020:19:48:39: stop main app.py
22/07/2020:19:48:53: start main app.py
22/07/2020:19:48:53: stop main app.py
22/07/2020:19:49:19: start main app.py
22/07/2020:19:49:24: stop main app.py
22/07/2020:19:51:05: start main app.py
22/07/2020:19:51:05: stop main app.py
22/07/2020:19:51:27: start main app.py
22/07/2020:19:51:32: stop main app.py
22/07/2020:19:51:43: start main app.py
22/07/2020:19:51:43: stop main app.py
22/07/2020:19:52:06: start main app.py
22/07/2020:19:52:11: stop main app.py
23/07/2020:09:53:32: start main app.py
23/07/2020:09:53:37: stop main app.py
23/07/2020:09:54:31: start main app.py
23/07/2020:09:54:31: stop main app.py
23/07/2020:09:55:11: start main app.py
23/07/2020:09:55:16: stop main app.py
